confidence	arg1	rel	arg2	enabler	attribution	text	pattern	dependencies
1.0	The suit	alleged	that they conspired to fix prices for e-books , and weaken Amazon.com 's position in the market , in violation of antitrust law			The suit alleged that they conspired to fix prices for e-books , and weaken Amazon.com 's position in the market , in violation of antitrust law .		
1.0	The third known version	is	part number 2189014-00-212			The third known version is part number 2189014-00-212 , with at least one model being produced in February 1993 .		
1.0	at least one model	being produced	in February 1993			The third known version is part number 2189014-00-212 , with at least one model being produced in February 1993 .		
1.0	the Somerset and Dorset Railway but this	closed	in 1966			The town was previously served by a station on the Somerset and Dorset Railway but this closed in 1966 , and by a second station on the Bristol and North Somerset Railway at Welton in the valley .		
1.0	The town	was previously served	previously served by a station on the Somerset and Dorset Railway			The town was previously served by a station on the Somerset and Dorset Railway but this closed in 1966 , and by a second station on the Bristol and North Somerset Railway at Welton in the valley .		
1.0	this	closed	in 1966 , and by a second station on the Bristol and North Somerset Railway at Welton in the valley			The town was previously served by a station on the Somerset and Dorset Railway but this closed in 1966 , and by a second station on the Bristol and North Somerset Railway at Welton in the valley .		
1.0	The very large piers at the crossing	signify	that there was once a tower			The very large piers at the crossing signify that there was once a tower .		
1.0	The video	was	the first ever to feature the use of dialogue			The video was the first ever to feature the use of dialogue .		
1.0	Their mission	was	always for a specific mandate			Their mission was always for a specific mandate and lasted for a limited period .		
1.0	Their mission	lasted	for a limited period			Their mission was always for a specific mandate and lasted for a limited period .		
1.0	Their numbers	continued to increase	each year			Their numbers continued to increase each year as rumours about immigration restrictions appeared in much of the Cypriot media .		
1.0	Their numbers	to	each year as rumours about immigration restrictions			Their numbers continued to increase each year as rumours about immigration restrictions appeared in much of the Cypriot media .		
1.0	rumours about immigration restrictions	appeared	in much of the Cypriot media			Their numbers continued to increase each year as rumours about immigration restrictions appeared in much of the Cypriot media .		
1.0	the fillets	are put	Then the fillets are put in a mix of olive oil , vinegar , sugar , garlic , chill peppers , and lots of parsley or celery			Then the fillets are put in a mix of olive oil , vinegar , sugar , garlic , chill peppers , and lots of parsley or celery .		
1.0	There	have been				There have been two crashes involving fatalities at the airfield since it was established .		
1.0	two crashes	involving	fatalities at the airfield since it was established			There have been two crashes involving fatalities at the airfield since it was established .		
1.0	it	closed	in October 2008			There used to be a Youth Hostel but it closed in October 2008 and the building has since reopened as Keld Lodge , a hotel with bar and restaurant .		
1.0	There	used	to be a Youth Hostel			There used to be a Youth Hostel but it closed in October 2008 and the building has since reopened as Keld Lodge , a hotel with bar and restaurant .		
1.0	the building	has since reopened	since reopened as Keld Lodge			There used to be a Youth Hostel but it closed in October 2008 and the building has since reopened as Keld Lodge , a hotel with bar and restaurant .		
1.0	143 households out of which 30.1 % had children under the age of 18 living with them , 49	had	under the age of 18 living with them			There were 143 households out of which 30.1 % had children under the age of 18 living with them , 49.7 % were married couples living together , 11.9 % had a female householder with no husband present , and 36.4 % were non-families .		
1.0	9 % had a female householder with no husband present , and 36.4	were	non-families			There were 143 households out of which 30.1 % had children under the age of 18 living with them , 49.7 % were married couples living together , 11.9 % had a female householder with no husband present , and 36.4 % were non-families .		
1.0	47,604 households out of which 35.00	had	children under the age of 18 living with them , 56			There were 47,604 households out of which 35.00 % had children under the age of 18 living with them , 56.30 % were married couples living together , 7.50 % had a female householder with no husband present , and 32.50 % were non-families .		
1.0	50 % had a female householder with no husband present , and 32.50	were	families			There were 47,604 households out of which 35.00 % had children under the age of 18 living with them , 56.30 % were married couples living together , 7.50 % had a female householder with no husband present , and 32.50 % were non-families .		
1.0	6,524 households out of which 35.3 % had children under the age of 18 living with them , 31	had	children under the age of 18 living with them			There were 6,524 households out of which 35.3 % had children under the age of 18 living with them , 31.7 % were married couples living together , 31.5 % had a female householder with no husband present , and 30.6 % were non-families .		
1.0	households	There were 6,524 households out of which 35.3 % had children under the age of 18 living with them , 31.7 % were	married couples living together , 31.5 % had a female householder with no husband present			There were 6,524 households out of which 35.3 % had children under the age of 18 living with them , 31.7 % were married couples living together , 31.5 % had a female householder with no husband present , and 30.6 % were non-families .		
1.0	5 % had a female householder with no husband present , and 30.6	were	families			There were 6,524 households out of which 35.3 % had children under the age of 18 living with them , 31.7 % were married couples living together , 31.5 % had a female householder with no husband present , and 30.6 % were non-families .		
1.0	These and other attempts	supplied	a bridge between the literature of the two languages			These and other attempts supplied a bridge between the literature of the two languages .		
1.0	same AT style plug and chassis , silver label on the reverse	bearing	the AnyKey moniker			These are visually very similar to part number 2189014-00-211 , with the same AT style plug and chassis , silver label on the reverse bearing the AnyKey moniker , screws holding the keyboard together , macro programming requiring the control key , and lacking the AnyKey inscription on their face .		
1.0	These	are	with the same AT style plug and chassis , silver label on the reverse bearing the AnyKey moniker , screws holding the keyboard together			These are visually very similar to part number 2189014-00-211 , with the same AT style plug and chassis , silver label on the reverse bearing the AnyKey moniker , screws holding the keyboard together , macro programming requiring the control key , and lacking the AnyKey inscription on their face .		
1.0	These	are	visually very similar to part number 2189014-00-211			These are visually very similar to part number 2189014-00-211 , with the same AT style plug and chassis , silver label on the reverse bearing the AnyKey moniker , screws holding the keyboard together , macro programming requiring the control key , and lacking the AnyKey inscription on their face .		
1.0	macro programming	requiring the control key , and lacking	the control key , and lacking the AnyKey inscription on			These are visually very similar to part number 2189014-00-211 , with the same AT style plug and chassis , silver label on the reverse bearing the AnyKey moniker , screws holding the keyboard together , macro programming requiring the control key , and lacking the AnyKey inscription on their face .		
1.0		holding	the keyboard together			These are visually very similar to part number 2189014-00-211 , with the same AT style plug and chassis , silver label on the reverse bearing the AnyKey moniker , screws holding the keyboard together , macro programming requiring the control key , and lacking the AnyKey inscription on their face .		
1.0	These beams	stem	from a cosmic energy source			These beams stem from a cosmic energy source called the `` Omega Effect '' .		
1.0	a cosmic energy source	called	the `` Omega Effect			These beams stem from a cosmic energy source called the `` Omega Effect '' .		
1.0	These objects	are thrown	away			These objects are thrown away if their screen projection is too small .		
1.0	their screen projection	is	too small			These objects are thrown away if their screen projection is too small .		
1.0	These orientations	allow	easy movement , i.e. degrees of freedom , and thus lowers			These orientations allow easy movement , i.e. degrees of freedom , and thus lowers entropy minimally .		
1.0	These orientations	lowers	entropy minimally			These orientations allow easy movement , i.e. degrees of freedom , and thus lowers entropy minimally .		
1.0	These	were often related	often related to European conflict			These were often related to European conflict , as the Stuart Pretenders were aided and encouraged by Britain 's continental enemies for their own ends .		
1.0	the Stuart Pretenders	were aided and encouraged	by Britain 's continental enemies for their own ends			These were often related to European conflict , as the Stuart Pretenders were aided and encouraged by Britain 's continental enemies for their own ends .		
1.0	They	beat	Milligan 1-0 , Grand View 3-0 , Webber International 1-0 and Azusa Pacific 0-0 to win the NAIA National Championships			They beat Milligan 1-0 , Grand View 3-0 , Webber International 1-0 and Azusa Pacific 0-0 to win the NAIA National Championships .		
1.0	They	have included	some of the most dangerous assassins in the world including Lady Shiva , David Cain , and Merlyn			They have included some of the most dangerous assassins in the world including Lady Shiva , David Cain , and Merlyn .		
1.0	They	go	usually go through a period of dormancy after flowering			They usually go through a period of dormancy after flowering .		
1.0	Third TV drama series	was broadcast	in 2008			Third TV drama series was broadcast in 2008 - , featuring Mao Inoue as Anmitsu .		
1.0	This attire	has also become	popular with women of other communities			This attire has also become popular with women of other communities .		
1.0	This	can be further generalized	by defining a Q-valued Euler characteristic for certain finite categories			This can be further generalized by defining a Q-valued Euler characteristic for certain finite categories , a notion compatible with the Euler characteristics of graphs , orbifolds and posets mentioned above .		
1.0	orbifolds and posets	mentioned	above			This can be further generalized by defining a Q-valued Euler characteristic for certain finite categories , a notion compatible with the Euler characteristics of graphs , orbifolds and posets mentioned above .		
1.0	Huguenot writers	began	to expand on Calvin and			This change was soon picked up by Huguenot writers , who began to expand on Calvin and promote the idea of the sovereignty of the people , ideas to which Catholic writers and preachers responded fiercely .		
1.0	This change	was soon picked up	soon picked up by Huguenot writers			This change was soon picked up by Huguenot writers , who began to expand on Calvin and promote the idea of the sovereignty of the people , ideas to which Catholic writers and preachers responded fiercely .		
1.0	ideas to which Catholic writers and preachers	responded	fiercely			This change was soon picked up by Huguenot writers , who began to expand on Calvin and promote the idea of the sovereignty of the people , ideas to which Catholic writers and preachers responded fiercely .		
1.0	Huguenot writers	promote	the idea of the sovereignty of the people			This change was soon picked up by Huguenot writers , who began to expand on Calvin and promote the idea of the sovereignty of the people , ideas to which Catholic writers and preachers responded fiercely .		
1.0	This engine	was equipped	with an electronically controlled carburetor			This engine was equipped with an electronically controlled carburetor .		
1.0	This	had	considerable implications for the Welsh language			This had considerable implications for the Welsh language as it was the main language of the nonconformist churches in Wales .		
1.0	it	was	the main language of the nonconformist churches in Wales			This had considerable implications for the Welsh language as it was the main language of the nonconformist churches in Wales .		
1.0	This	is	most common in Western countries in those with Barrett 's esophagus			This is most common in Western countries in those with Barrett 's esophagus , and occurs in the cuboidal cells .		
1.0	This	occurs	in the cuboidal cells			This is most common in Western countries in those with Barrett 's esophagus , and occurs in the cuboidal cells .		
1.0	This line	was extended	east by the Prahran			This line was extended east by the Prahran & Malvern Tramways Trust from Hawthorn Road to Darling Road , Malvern East on 13 November 1913 .		
1.0	This line	was extended	east by the Prahran & Malvern Tramways Trust from Hawthorn Road to Darling Road , Malvern East on 13 November 1913			This line was extended east by the Prahran & Malvern Tramways Trust from Hawthorn Road to Darling Road , Malvern East on 13 November 1913 .		
1.0	This mutation	gives	him superhuman strength , speed , reflexes , agility , flexibility , dexterity , coordination , balance , and endurance			This mutation gives him superhuman strength , speed , reflexes , agility , flexibility , dexterity , coordination , balance , and endurance .		
1.0	This policy	was , however , opposed	by the miners			This policy was , however , opposed by the miners who demanded that the inspections be carried out by experienced colliers .		
1.0	the miners	demanded	that the inspections be carried out by experienced colliers			This policy was , however , opposed by the miners who demanded that the inspections be carried out by experienced colliers .		
1.0	Pascalina	organized and led	the `` Magazzino			To assist the pope in the many calls for his help and charity , Pascalina organized and led the `` Magazzino '' , a private papal charity office which employed up to 40 helpers and continued until 1959 .		
1.0	a private papal charity office	employed	up to 40 helpers			To assist the pope in the many calls for his help and charity , Pascalina organized and led the `` Magazzino '' , a private papal charity office which employed up to 40 helpers and continued until 1959 .		
1.0	Michael	asks	his self-centered twin sister Lindsay , her husband Tobias and their daughter Maeby to live together in the Bluth model home with him and George Michael			To keep the family together , Michael asks his self-centered twin sister Lindsay , her husband Tobias and their daughter Maeby to live together in the Bluth model home with him and George Michael .		
1.0	Jewish Philosophy	framed	Judaism in light of Greek thought and human intellect			To the Medieval school of Jewish Philosophy , that framed Judaism in light of Greek thought and human intellect , God the Infinite has no needs .		
1.0	God the Infinite	has	no needs			To the Medieval school of Jewish Philosophy , that framed Judaism in light of Greek thought and human intellect , God the Infinite has no needs .		
1.0	Total ` Fresh Food Story	constructed	at the end of the North Mall			Total ` Fresh Food Story ' constructed at the end of the North Mall .		
1.0	R-11	continued	her training ship duties throughout the remainder of her career			Transferred to Key West , Florida , on 1 June 1941 , `` R-11 '' continued her training ship duties throughout the remainder of her career .		
1.0	Trumbull	was often incorrectly credited	often incorrectly credited in print as being the sole special-effects creator for 2001			Trumbull was often incorrectly credited in print as being the sole special-effects creator for 2001 .		
1.0	Ladd	is	Twice divorced and currently married , Ladd is the mother of			Twice divorced and currently married , Ladd is the mother of actress Laura Dern , by her ex-husband , actor Bruce Dern .		
1.0	Ladd	is	the mother of actress Laura Dern , by her ex-husband			Twice divorced and currently married , Ladd is the mother of actress Laura Dern , by her ex-husband , actor Bruce Dern .		
1.0	her ex-husband	is	actor Bruce Dern			Twice divorced and currently married , Ladd is the mother of actress Laura Dern , by her ex-husband , actor Bruce Dern .		
1.0	Two seats	were won	by the Labor-Progressive Party on its own with the re-election of A.A. MacLeod and J.B. Salsberg			Two seats were won by the Labor-Progressive Party on its own with the re-election of A.A. MacLeod and J.B. Salsberg .		
1.0	Tyabb	has	Tyabb Airport			Tyabb also has Tyabb Airport , a private airfield which has been operating for more than thirty years .		
1.0	a private airfield	has been operating	for more than thirty years			Tyabb also has Tyabb Airport , a private airfield which has been operating for more than thirty years .		
1.0	US 258	intersects	NC 222 in Fountain before entering Edgecombe County			US 258 intersects NC 222 in Fountain before entering Edgecombe County .		
1.0	each company	built	Under the Comanche program , each company built different parts of the aircraft			Under the Comanche program , each company built different parts of the aircraft .		
1.0	a yeoman	prefers	his small beer and domestic peace			Unlike Uncle Sam later , he is not a figure of authority but rather a yeoman who prefers his small beer and domestic peace , possessed of neither patriarchal power nor heroic defiance .		
1.0	he	is not	a figure of authority but rather a yeoman who prefers his small beer and domestic peace , possessed of neither patriarchal power nor heroic defiance			Unlike Uncle Sam later , he is not a figure of authority but rather a yeoman who prefers his small beer and domestic peace , possessed of neither patriarchal power nor heroic defiance .		
1.0	Unruly passengers	are often put off	often put off here to be taken into custody			Unruly passengers are often put off here to be taken into custody .		
1.0	Wakeboarding	is practiced	by both men and women at the competitive level			Wakeboarding is practiced by both men and women at the competitive level , but they compete in separate categories .		
1.0	they	compete	in separate categories			Wakeboarding is practiced by both men and women at the competitive level , but they compete in separate categories .		
1.0	Watson	has served	as Minority Leader since elected by his caucus in November 1998			Watson has served as Minority Leader since elected by his caucus in November 1998 .		
1.0	media and arts criticism	launched	in January , 2007			Watson was the founder and editor of `` newcritics.com , '' an online journal of media and arts criticism launched in January , 2007 and shuttered in June , 2009 .		
1.0	Watson	was	the founder and editor of `` newcritics.com , '' an online journal of media and arts			Watson was the founder and editor of `` newcritics.com , '' an online journal of media and arts criticism launched in January , 2007 and shuttered in June , 2009 .		
1.0	journal		in June			Watson was the founder and editor of `` newcritics.com , '' an online journal of media and arts criticism launched in January , 2007 and shuttered in June , 2009 .		
1.0	Naguib	began showing	signs of independence from Nasser by distancing himself from the RCC 's land reform decrees and			When Naguib began showing signs of independence from Nasser by distancing himself from the RCC 's land reform decrees and drawing closer to Egypt 's established political forces , namely the Wafd and the Brotherhood , Nasser resolved to depose him .		
1.0	civilian government	was introduced	in Romblon by the Americans in 16 March 1901			When civilian government was introduced in Romblon by the Americans in 16 March 1901 , Banton was one of 11 new municipalities reinstated or created .		
1.0	Banton	was	When civilian government was introduced in Romblon by the Americans in 16 March 1901 , Banton was one of 11 new municipalities			When civilian government was introduced in Romblon by the Americans in 16 March 1901 , Banton was one of 11 new municipalities reinstated or created .		
1.0	the explosion	tore				When the explosion tore through the hut , Stauffenberg was convinced that no one in the room could have survived .		
1.0	Stauffenberg	was convinced	When the explosion tore through the hut , Stauffenberg was convinced that no one in the room could have survived			When the explosion tore through the hut , Stauffenberg was convinced that no one in the room could have survived .		
1.0	Scieszka	painted	While pursuing his MFA at Columbia in New York , Scieszka painted apartments			While pursuing his MFA at Columbia in New York , Scieszka painted apartments .		
1.0	the `` Epilogue	is	missing			Why the `` Epilogue '' is missing is unknown .		
1.0	the `` Epilogue '' is missing	is	unknown			Why the `` Epilogue '' is missing is unknown .		
1.0	Wide acceptance of zero-energy building technology	may require	more government incentives or building code regulations , the development of recognized standards , or significant increases in the cost of conventional energy			Wide acceptance of zero-energy building technology may require more government incentives or building code regulations , the development of recognized standards , or significant increases in the cost of conventional energy .		
1.0	the Cosmos	expressed	concern for what Battra might do			With no assigned task , the Cosmos expressed concern for what Battra might do .		
1.0	Morena	the goddess of	the underworld			With the help of Morena , the goddess of the underworld , she has captivated Yaromir .		
1.0	she	has captivated	Yaromir			With the help of Morena , the goddess of the underworld , she has captivated Yaromir .		
1.0	Russia	was officially transformed	With this act , Russia was officially transformed from an absolute monarchy into a constitutional one , though the exact extent of just `` how '' constitutional quickly became the subject of debate , based upon the emperor 's subsequent actions			With this act , Russia was officially transformed from an absolute monarchy into a constitutional one , though the exact extent of just `` how '' constitutional quickly became the subject of debate , based upon the emperor 's subsequent actions .		
1.0	Russia	was officially transformed	from an absolute monarchy into a constitutional one			With this act , Russia was officially transformed from an absolute monarchy into a constitutional one , though the exact extent of just `` how '' constitutional quickly became the subject of debate , based upon the emperor 's subsequent actions .		
1.0	the exact extent of just `` how '' constitutional	quickly became	the subject of debate , based upon the emperor 's subsequent actions			With this act , Russia was officially transformed from an absolute monarchy into a constitutional one , though the exact extent of just `` how '' constitutional quickly became the subject of debate , based upon the emperor 's subsequent actions .		
1.0	Big Gun Model Warship combat clubs	have	rules that make provisions for cannon caliber and armor thickness			With versions in 1/48 , 1/72 , 1/96 , and 1/144 scale , Big Gun Model Warship combat clubs have rules that make provisions for cannon caliber and armor thickness to be scaled according to that which existed on the prototype vessel .		
1.0	rules	make	provisions for cannon caliber and armor thickness to be scaled according			With versions in 1/48 , 1/72 , 1/96 , and 1/144 scale , Big Gun Model Warship combat clubs have rules that make provisions for cannon caliber and armor thickness to be scaled according to that which existed on the prototype vessel .		
1.0	he	was surprised	by Eamonn Andrews			Wright was the subject of `` This Is Your Life '' on two occasions : in May 1961 when he was surprised by Eamonn Andrews , and in January 1990 , when Michael Aspel surprised him at Thames Television 's Teddington Studios .		
1.0	Wright	was	the subject of `` This Is Your Life '' on two occasions : in May 1961			Wright was the subject of `` This Is Your Life '' on two occasions : in May 1961 when he was surprised by Eamonn Andrews , and in January 1990 , when Michael Aspel surprised him at Thames Television 's Teddington Studios .		
1.0	Michael Aspel	surprised	January 1990 , when Michael Aspel surprised him at Thames Television 's Teddington Studios			Wright was the subject of `` This Is Your Life '' on two occasions : in May 1961 when he was surprised by Eamonn Andrews , and in January 1990 , when Michael Aspel surprised him at Thames Television 's Teddington Studios .		
1.0	the few records by any act	released	as a B-side to another Hot 100 hit			`` Black Water '' became one of the few records by any act released as a B-side to another Hot 100 hit `` before '' topping the Hot 100 itself .		
1.0	Black Water	became	one of the few records by any act			`` Black Water '' became one of the few records by any act released as a B-side to another Hot 100 hit `` before '' topping the Hot 100 itself .		
1.0	all medalists	please see	For a list of all medalists , please see the List of Great American Beer Festival medalists			`` For a list of all medalists , please see the List of Great American Beer Festival medalists ''		
1.0	Greenfish	was launched	by the Electric Boat Co. , Groton , Conn. , 21 December 1945 ; sponsored by Mrs. Thomas J. Doyle ; and commissioned 7 June 1946			`` Greenfish '' was launched by the Electric Boat Co. , Groton , Conn. , 21 December 1945 ; sponsored by Mrs. Thomas J. Doyle ; and commissioned 7 June 1946 , Comdr. R. M. Metcalf commanding .		
1.0	It	started	from modest beginnings			`` It started from modest beginnings and became a gigantic charity '' .		
1.0	It	became	a gigantic charity			`` It started from modest beginnings and became a gigantic charity '' .		
1.0	Le Griffon	to be	the `` Holy Grail '' of Great Lakes shipwreck hunters			`` Le Griffon '' is reported to be the `` Holy Grail '' of Great Lakes shipwreck hunters .		
1.0	The Cure	topped	the online music sales charts			`` The Cure '' topped the online music sales charts .		
1.0	only a few concert organists worldwide	supported	themselves			he was one of only a few concert organists worldwide who supported themselves exclusively by giving recitals , concerts and master classes , without any supplement from teaching or church position .		
1.0	he	was	one of only a few concert organists worldwide			he was one of only a few concert organists worldwide who supported themselves exclusively by giving recitals , concerts and master classes , without any supplement from teaching or church position .		
1.0	only a few concert organists worldwide	supported themselves exclusively	themselves exclusively by giving recitals , concerts and master classes , without any supplement from teaching or church position			he was one of only a few concert organists worldwide who supported themselves exclusively by giving recitals , concerts and master classes , without any supplement from teaching or church position .		
1.0	equity - purchase warrants	indicating	a 3 3\/4 % coupon at par via Nomura International Ltd			$ 300 million of bonds due Nov. 16 , 1993 , with equity - purchase warrants , indicating a 3 3\/4 % coupon at par via Nomura International Ltd .		
1.0	the Senate last week	passed	last week passed a bill permitting execution of terrorists			( Separately , the Senate last week passed a bill permitting execution of terrorists who kill Americans abroad . )		
1.0	terrorists	kill	Americans abroad			( Separately , the Senate last week passed a bill permitting execution of terrorists who kill Americans abroad . )		
1.0	Mr. Panelli	rowed religiously	A San Francisco lawyer , Mr. Panelli rowed religiously when he first got the machine			A San Francisco lawyer , Mr. Panelli rowed religiously when he first got the machine , but , he complains , it left grease marks on his carpet , `` and it was boring .		
1.0	it	left	grease marks on his carpet			A San Francisco lawyer , Mr. Panelli rowed religiously when he first got the machine , but , he complains , it left grease marks on his carpet , `` and it was boring .		
1.0	it	left	grease marks on his carpet			A San Francisco lawyer , Mr. Panelli rowed religiously when he first got the machine , but , he complains , it left grease marks on his carpet , `` and it was boring .		
1.0	A half - dozen Soviet space officials	stopped	in Tokyo in July for an exhibit , stopped by to see their counterparts at the National Space Development Agency of Japan			A half - dozen Soviet space officials , in Tokyo in July for an exhibit , stopped by to see their counterparts at the National Space Development Agency of Japan .		
1.0	Beatrice	filed	first filed to sell debt			A month ago , when Beatrice first filed to sell debt , the company had planned to offer $ 200 million of its senior subordinated reset notes at a yield of 12 3\/4 % .		
1.0	the company	had planned	A month ago , when Beatrice first filed to sell debt , the company had planned to offer $ 200 million of its senior subordinated reset notes at a yield of 12			A month ago , when Beatrice first filed to sell debt , the company had planned to offer $ 200 million of its senior subordinated reset notes at a yield of 12 3\/4 % .		
1.0	Beatrice	filed	first			A month ago , when Beatrice first filed to sell debt , the company had planned to offer $ 200 million of its senior subordinated reset notes at a yield of 12 3\/4 % .		
1.0	the company	had planned	A month ago , when Beatrice first filed to sell debt , the company had planned to offer $ 200 million of its senior subordinated reset notes at a yield of 12 3\/4			A month ago , when Beatrice first filed to sell debt , the company had planned to offer $ 200 million of its senior subordinated reset notes at a yield of 12 3\/4 % .		
1.0	the company	had planned	to offer $ 200 million of its senior subordinated reset notes			A month ago , when Beatrice first filed to sell debt , the company had planned to offer $ 200 million of its senior subordinated reset notes at a yield of 12 3\/4 % .		
1.0	the company	had planned	to offer $ 200 million of its senior subordinated reset notes at a yield of 12 3\/4			A month ago , when Beatrice first filed to sell debt , the company had planned to offer $ 200 million of its senior subordinated reset notes at a yield of 12 3\/4 % .		
1.0	A similar technique	is	almost impossible to apply to other crops , such as cotton , soybeans and rice			A similar technique is almost impossible to apply to other crops , such as cotton , soybeans and rice .		
1.0	A specialist	is	an exchange member designated to maintain a fair and orderly market in a specified stock			A specialist is an exchange member designated to maintain a fair and orderly market in a specified stock .		
1.0	HealthVest	has paid	two of the three banks			A spokesman said HealthVest has paid two of the three banks it owed interest to in October and is in negotiations with the third bank .		
1.0	A spokesman	said	HealthVest has paid two of the three banks			A spokesman said HealthVest has paid two of the three banks it owed interest to in October and is in negotiations with the third bank .		
1.0	three banks	owed interest to in October and is	interest to in October and is in negotiations with the third bank			A spokesman said HealthVest has paid two of the three banks it owed interest to in October and is in negotiations with the third bank .		
1.0	banks	owed	interest to in October			A spokesman said HealthVest has paid two of the three banks it owed interest to in October and is in negotiations with the third bank .		
1.0	A state judge	postponed	a decision on a move by holders of Telerate Inc. to block the tender offer of Dow Jones & Co. for the 33 % of Telerate			A state judge postponed a decision on a move by holders of Telerate Inc. to block the tender offer of Dow Jones & Co. for the 33 % of Telerate it does n't already own .		
1.0	A state judge	postponed	a decision on a move by holders of Telerate Inc. to block the tender offer of Dow Jones & Co. for the 33 % of			A state judge postponed a decision on a move by holders of Telerate Inc. to block the tender offer of Dow Jones & Co. for the 33 % of Telerate it does n't already own .		
1.0	A state judge	postponed	a decision on a move by holders of Telerate Inc			A state judge postponed a decision on a move by holders of Telerate Inc. to block the tender offer of Dow Jones & Co. for the 33 % of Telerate it does n't already own .		
1.0	A surprising 78 % of people	said	they exercise regularly , up from 73 % in 1981			A surprising 78 % of people said they exercise regularly , up from 73 % in 1981 .		
1.0	UniFirst	earned	2.4 million			A year earlier UniFirst earned $ 2.4 million , or 24 cents a share adjusted for the split .		
1.0	UniFirst	earned	A year earlier UniFirst earned $ 2.4 million , or 24 cents a share			A year earlier UniFirst earned $ 2.4 million , or 24 cents a share adjusted for the split .		
1.0	cents a share	adjusted	for the split			A year earlier UniFirst earned $ 2.4 million , or 24 cents a share adjusted for the split .		
1.0	About $ 70 billion	to be tied up	in the short - term money market			About $ 70 billion is estimated to be tied up in the short - term money market , which acts both as a hedge against inflation for consumers and an accelerator of inflation and deficits for the government .		
1.0	the short - term money market	acts	both as a hedge against inflation for consumers and an accelerator of inflation and deficits for the government			About $ 70 billion is estimated to be tied up in the short - term money market , which acts both as a hedge against inflation for consumers and an accelerator of inflation and deficits for the government .		
1.0	one person familiar with the airline , the buy - out group	familiar with the airline , the buy - out group -- led	the airline , the buy - out group -- led by United 's pilots union and UAL Chairman			According to one person familiar with the airline , the buy - out group -- led by United 's pilots union and UAL Chairman Stephen Wolf -- has begun billing UAL for fees and expenses it owes to investment bankers , law firms and banks .		
1.0	the buy - out group -- led by United 's pilots union and UAL Chairman Stephen Wolf	has begun	billing UAL for fees and expenses			According to one person familiar with the airline , the buy - out group -- led by United 's pilots union and UAL Chairman Stephen Wolf -- has begun billing UAL for fees and expenses it owes to investment bankers , law firms and banks .		
1.0	fees and expenses	owes	to investment bankers , law firms and banks			According to one person familiar with the airline , the buy - out group -- led by United 's pilots union and UAL Chairman Stephen Wolf -- has begun billing UAL for fees and expenses it owes to investment bankers , law firms and banks .		
1.0	he	was elected	After practicing law locally , he was elected to his first 10 - year term as judge in 1971			After practicing law locally , he was elected to his first 10 - year term as judge in 1971 ; in 1981 , he was effectively re - elected .		
1.0	more and more U.S. companies	are seriously pouring in	After years of talking about selling in Japan			After years of talking about selling in Japan , more and more U.S. companies are seriously pouring in .		
1.0	the premiums	paid	by the U.S. government on a purchase of copper for the U.S. Mint			Also , the premiums paid by the U.S. government on a purchase of copper for the U.S. Mint were lower than expected , and acted as a price depressant , analysts said .		
1.0	the premiums paid by the U.S. government on a purchase of copper for the U.S. Mint	were	lower than expected			Also , the premiums paid by the U.S. government on a purchase of copper for the U.S. Mint were lower than expected , and acted as a price depressant , analysts said .		
1.0	the premiums paid by the U.S. government on a purchase of copper for the U.S. Mint	acted	as a price depressant			Also , the premiums paid by the U.S. government on a purchase of copper for the U.S. Mint were lower than expected , and acted as a price depressant , analysts said .		
1.0	Heathrow authorities	have been watching	a group of allegedly crooked baggage handlers for some time			Although Heathrow authorities have been watching a group of allegedly crooked baggage handlers for some time , the Gauguin may be `` lost . ''		
1.0	it	is	possible that he could do so later			Although Mr. Azoff wo n't produce films at first , it is possible that he could do so later , the sources said .		
1.0	Mr. Azoff	wo n't produce	films at first			Although Mr. Azoff wo n't produce films at first , it is possible that he could do so later , the sources said .		
1.0	Mr. Shevardnadze	said	that does n't mean they will be without an agenda			Although no specific agreements are expected , Mr. Shevardnadze said `` that does n't mean they will be without an agenda . ''		
1.0	the Treasury	will announce	details of the November refunding tomorrow			Although the Treasury will announce details of the November refunding tomorrow , it could be delayed if Congress and President Bush fail to increase the Treasury 's borrowing capacity .		
1.0	Congress and President Bush	fail to increase	the Treasury 's borrowing capacity			Although the Treasury will announce details of the November refunding tomorrow , it could be delayed if Congress and President Bush fail to increase the Treasury 's borrowing capacity .		
1.0	it	could be delayed	if Congress and President Bush fail to increase the Treasury 's borrowing capacity			Although the Treasury will announce details of the November refunding tomorrow , it could be delayed if Congress and President Bush fail to increase the Treasury 's borrowing capacity .		
1.0	they	said	Among other things , they said , Mr. Azoff would develop musical acts for a new record label			Among other things , they said , Mr. Azoff would develop musical acts for a new record label .		
1.0	Mr. Azoff	would develop	musical acts for a new record label			Among other things , they said , Mr. Azoff would develop musical acts for a new record label .		
1.0	the public	has always been fascinated	always been fascinated by gossip and voyeurism			And , since the public has always been fascinated by gossip and voyeurism , reporters and editors will strain for creative angles to justify the inclusion of collateral facts about private lives including sexual activities and domestic relationships , activities of family members , and all matters about mental and physical health .		
1.0	reporters and editors	will strain	for creative angles to justify the inclusion of collateral facts about private lives including sexual activities and domestic relationships , activities of family members , and all matters about mental and physical health			And , since the public has always been fascinated by gossip and voyeurism , reporters and editors will strain for creative angles to justify the inclusion of collateral facts about private lives including sexual activities and domestic relationships , activities of family members , and all matters about mental and physical health .		
